Song_Id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2263,PLAYA DEL INGL,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663.0,30,15,34,2,47.0,113,G,Minor,2022-12-15,79.0,66.0,,8.0,0.0,11.0,5.0
2269,Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494.0,107,69,5239,0,558.0,172,A,Major,2004-01-01,45.0,33.0,59.0,,0.0,8.0,3.0
2273,Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571.0,1,1,3,0,0.0,108,A,Minor,2022-01-07,46.0,23.0,48.0,75.0,30.0,14.0,4.0
2280,Without Me,Eminem,1,2002,1,1,21081,43,1687664027.0,98,76,3889,5,0.0,112,G,Major,2002-01-01,92.0,67.0,66.0,,,36.0,9.0
2300,Freaks,Surf Curse,1,2015,5,10,3006,3,824420218.0,23,21,121,0,13.0,180,A,Major,2015-05-10,35.0,41.0,94.0,0.0,63.0,5.0,5.0
2301,Sacrifice,The Weeknd,1,2022,1,7,4440,0,326792833.0,81,77,133,0,,122,G,Major,2022-01-07,,91.0,79.0,3.0,0.0,7.0,10.0
2305,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960.0,129,31,212,1,41.0,177,A,Major,2022-10-28,81.0,39.0,66.0,38.0,0.0,12.0,14.0
2306,Out of Time,The Weeknd,1,2022,1,7,3711,0,339659802.0,49,88,62,0,,93,,Minor,2022-01-07,65.0,82.0,74.0,27.0,0.0,32.0,5.0
2309,on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790.0,22,82,8,0,9.0,94,B,Minor,2023-03-03,68.0,81.0,,53.0,0.0,9.0,13.0
2312,Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421.0,2,74,14,0,2.0,155,G#,Major,2022-12-02,49.0,42.0,77.0,,0.0,12.0,9.0
2314,favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581.0,20,21,99,0,7.0,173,A,Major,2021-05-21,40.0,19.0,29.0,86.0,0.0,34.0,
2319,Cupid Twin Ver. (FIFTY FIFTY) Spe,sped up 8282,1,1997,1,1,472,2,103762518.0,0,0,6,0,0.0,144,F,Major,1997-01-01,74.0,75.0,73.0,42.0,,9.0,4.0
2321,SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294.0,32,3,9,0,0.0,94,G#,Major,2022-10-31,73.0,65.0,79.0,5.0,2.0,11.0,6.0
2323,Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,0,351636786.0,90,35,5,0,0.0,101,C#,Minor,1984-01-01,72.0,91.0,87.0,14.0,0.0,13.0,3.0
2327,Born Singer,BTS,1,2022,6,10,279,0,79095270.0,0,18,6,0,0.0,158,G#,Minor,2022-06-10,60.0,68.0,84.0,4.0,0.0,24.0,11.0
2328,MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629.0,15,26,30,6,0.0,80,,Major,2023-02-24,63.0,76.0,67.0,38.0,,6.0,4.0
2331,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,22,33,34,7,184.0,120,,Major,2023-06-01,81.0,63.0,68.0,11.0,0.0,11.0,4.0
2332,Santa Tell Me,Ariana Grande,1,2013,12,13,9408,0,834129063.0,231,106,439,0,,133,G,Major,2013-12-13,46.0,53.0,63.0,5.0,0.0,30.0,18.0
2338,Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453.0,36,2,11,0,14.0,126,A,Minor,2020-10-08,67.0,37.0,46.0,,0.0,10.0,39.0
2350,Vai L Em Casa,"Marlia Mendona, George Henrique &",2,2021,10,22,772,0,263894529.0,7,3,89,0,0.0,158,G#,Minor,2021-10-22,46.0,62.0,83.0,53.0,0.0,,28.0
2351,Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938.0,69,12,38,8,64.0,139,G#,Major,2022-07-15,74.0,68.0,68.0,3.0,0.0,26.0,4.0
2355,Falling,Harry Styles,1,2019,12,13,7556,0,1023187129.0,124,24,254,0,8.0,110,E,Major,2019-12-13,57.0,,27.0,84.0,0.0,9.0,3.0
2356,Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708.0,8,1,7,0,0.0,114,D,Minor,2022-11-04,62.0,25.0,44.0,51.0,33.0,,3.0
2357,SloMo,Chanel,1,2021,12,24,1211,0,65719930.0,31,0,19,0,2.0,105,C#,Minor,2021-12-24,73.0,59.0,81.0,13.0,0.0,9.0,6.0
2358,Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0,63,79,89,11,16.0,98,C#,Minor,2022-10-06,90.0,40.0,59.0,0.0,0.0,10.0,29.0
2359,Un Ratito,Bad Bunny,1,2022,5,6,1112,6,417230415.0,7,30,13,1,1.0,93,,Minor,2022-05-06,79.0,22.0,55.0,31.0,0.0,12.0,5.0
2360,Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700.0,23,2,21,0,0.0,110,G#,Minor,2022-10-26,81.0,64.0,79.0,5.0,0.0,31.0,3.0
2363,Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,118381354.0,12,2,4,0,0.0,92,,Major,2022-03-30,86.0,91.0,79.0,29.0,0.0,60.0,16.0
2367,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007.0,50,49,30,1,2.0,93,,Major,2021-11-12,,21.0,52.0,28.0,0.0,9.0,3.0
2370,Mal Feito - Ao Vivo,"Marlia Mendona, Hugo & G",2,2022,1,14,971,2,291709698.0,35,104,93,1,0.0,124,,Minor,2022-01-14,73.0,68.0,83.0,55.0,0.0,90.0,
2374,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666.0,7,29,51,1,29.0,154,F#,Major,2023-03-01,73.0,88.0,57.0,56.0,0.0,,2.0
2376,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178.0,24,90,30,1,176.0,119,C#,Minor,2022-12-02,75.0,48.0,53.0,18.0,0.0,18.0,34.0
2379,Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007.0,20,49,23,2,2.0,164,G#,Minor,2022-06-03,70.0,58.0,57.0,25.0,0.0,15.0,7.0
2380,Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183.0,179,97,3394,11,153.0,122,C#,Minor,2013-01-01,66.0,48.0,71.0,6.0,0.0,12.0,4.0
2387,A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1,7930,0,395591396.0,108,120,73,0,0.0,140,,Major,1952-01-01,67.0,81.0,36.0,64.0,0.0,15.0,3.0
2403,Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335.0,29,2,35,1,0.0,180,A#,Minor,2021-04-30,80.0,71.0,68.0,6.0,0.0,10.0,37.0
2405,Formula,Labrinth,1,2019,10,4,3444,7,554875730.0,24,85,102,0,1.0,145,B,Major,2019-10-04,57.0,23.0,66.0,4.0,,15.0,4.0
2413,Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32,0,272.0,90,G#,Major,2022-10-21,64.0,10.0,62.0,7.0,0.0,48.0,7.0
2417,Dance Monkey,Tones and I,1,2019,5,10,24529,0,2864791672.0,533,167,3595,6,,98,F#,Minor,2019-05-10,82.0,54.0,59.0,69.0,0.0,18.0,10.0
2421,Talk that Talk,TWICE,1,2022,8,26,615,0,189476119.0,14,77,15,1,2.0,120,D#,Minor,2022-08-26,77.0,78.0,91.0,14.0,0.0,33.0,12.0
2423,Piman Deï¿,"Semicenk, Dou",2,2023,6,2,185,3,43522589.0,5,6,4,1,33.0,98,A#,Minor,2023-06-02,73.0,45.0,62.0,28.0,0.0,13.0,13.0
2427,Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,3394,19,,123,E,Minor,2012-10-15,,13.0,54.0,70.0,0.0,9.0,4.0
2428,THE LONELIEST,Mne,1,2022,10,7,1585,5,225093344.0,78,65,328,1,198.0,130,D,Major,2022-10-07,52.0,24.0,60.0,0.0,0.0,8.0,3.0
2433,C,Rauw Alejandro,1,2021,6,25,2636,3,465959382.0,36,82,39,0,5.0,102,A,Minor,2021-06-25,77.0,26.0,63.0,58.0,0.0,11.0,5.0
2434,Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368.0,47,74,80,14,194.0,168,F#,Minor,2022-12-20,78.0,58.0,73.0,5.0,0.0,10.0,7.0
2435,Low,SZA,1,2022,12,9,1911,0,272377463.0,23,71,14,0,9.0,145,,Minor,2022-12-09,70.0,34.0,55.0,43.0,0.0,16.0,6.0
2437,Right On,Lil Baby,1,2022,4,8,1116,0,101780047.0,31,9,15,0,1.0,166,D,Major,2022-04-08,70.0,22.0,61.0,2.0,0.0,10.0,34.0
2441,KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833.0,38,101,26,0,0.0,102,C#,Major,2022-10-12,58.0,29.0,94.0,0.0,0.0,9.0,11.0
2444,The Business,Tiï¿,1,2020,1,1,14311,0,1062345656.0,255,32,582,0,14.0,120,G#,Minor,2020-01-01,80.0,,62.0,41.0,2.0,,23.0
2446,Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338.0,4,64,4,2,37.0,182,A,Major,2023-02-03,57.0,,59.0,8.0,0.0,6.0,
2448,Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579.0,11,29,14,0,0.0,123,F#,Minor,2022-01-07,74.0,35.0,73.0,0.0,0.0,21.0,5.0
2456,Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984.0,0,0,356,0,0.0,144,F,Major,2012-12-05,73.0,87.0,70.0,6.0,0.0,28.0,5.0
2457,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0,17,152,32,11,139.0,133,F,Minor,2023-05-31,86.0,86.0,79.0,11.0,0.0,8.0,9.0
2461,Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,14143,4,1479264469.0,56,38,1891,1,,110,E,Major,2012-01-01,74.0,51.0,74.0,2.0,0.0,29.0,4.0
2463,Creep,Radiohead,1,1992,9,21,36724,7,1271293243.0,146,72,6807,5,80.0,92,G,Major,1992-09-21,53.0,12.0,34.0,1.0,0.0,12.0,4.0
